RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.10.7;Datestart
;;;;;;;0;C>E;A;на Дружная дс;67;80869;;71378,15899;;
36;;;;5 АП;15941,;;;A>B;A;ДС Кунцевщина - пос. Кунцевщина;1234567;100327;;15858,14606,14607,14608,14610,14611,14612;;d1-d5 - 26.08.2013<br>d6-d7 - 24.08.2013
;;;;;;;;B>A;A;пос. Кунцевщина - ДС Кунцевщина;1234567;100330;;14612,72617,14600,14601,15522,15858;;
37;;;;7 АП;15955,;;;A>B;A;дс Карбышева - дс Восточная;1234567;101774;;14364,14358,14362,14356,14355,14484,14483,14480,14390,14392,14395,14397,14399,14401,14403,14490,14492,15859,14767,15515,15516,15480,15605,15606,15607,15629;;d1-d5 - 09.09.2013<br>d6-d7 - 07.09.2013
;;;;;;;;B>A;A;дс Восточная -дс Карбышева;1234567;101775;;15629,15630,15631,15632,15481,15314,15482,15483,15514,15952,14756,14494,14495,14344,14402,14400,14398,14396,14394,14391,14454,14481,14482,14485,14354,14357,14363,14361,14359,14440,14364;;
;;;;;;;0.4;D>B1;A;D АП 7 - Парк Челюскинцев;12345;101776;;14492,15859,14767,15515,15516,15480,15605,15606,15607,15629;;
38;;;;;15810,;;;A>B;A;д/с КАРАСТОЯНОВОЙ - д/с Дружная;1234567;91506;;15750,15714,15713,58346,15724,15726,15727,15728,14468,14469,15565,15566,15122,15774,15891,71378;;d1-d5 - 15.04.2013<br>d6-d7 - 12.10.2013
;;;;;;;;B>A;A;д/с Дружная - д/с КАРАСТОЯНОВОЙ;1234567;91507;;71378,15914,15912,15920,15599,15600,15601,15602,15219,15730,15729,15751,15725,15717,15716,15715,15750;;
39;;;;4 АП;15992,;;;A>B;A;д/с Восточная - ЩЕДРИНА;12345;106836;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,15145,15146,15148;;d1-d5 - 14.10.2013
;;;;;;;;B>A;A;ЩЕДРИНА - д/с Восточная;12345;106837;;15148,15149,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
